"time","power"
2024-01-11 07:38:27,8
2024-01-11 07:38:38,9
2024-01-11 07:38:48,10
2024-01-11 07:38:59,9
2024-01-11 07:39:10,9
2024-01-11 07:39:15,8
2024-01-11 07:39:25,9
2024-01-11 07:39:36,10
2024-01-11 07:39:46,9
2024-01-11 07:39:52,10
2024-01-11 07:39:57,8
2024-01-11 07:40:02,10
2024-01-11 07:40:13,8
2024-01-11 07:40:18,9
2024-01-11 07:40:24,8
2024-01-11 07:40:29,10
2024-01-11 07:40:34,9
2024-01-11 07:40:39,10
2024-01-11 07:40:55,9
2024-01-11 07:41:00,8
2024-01-11 07:41:11,9
2024-01-11 07:41:16,10
2024-01-11 07:41:27,8
2024-01-11 07:41:38,9
2024-01-11 07:41:43,10
2024-01-11 07:41:53,9
2024-01-11 07:42:04,8
2024-01-11 07:42:20,9
2024-01-11 07:42:30,8
2024-01-11 07:42:41,9
2024-01-11 07:42:57,9
2024-01-11 07:43:02,9
2024-01-11 07:43:07,11
2024-01-11 07:43:18,10
2024-01-11 07:43:23,11
2024-01-11 07:43:28,10
2024-01-11 07:43:34,11
2024-01-11 07:43:39,10
2024-01-11 07:43:44,11
2024-01-11 07:43:55,10
2024-01-11 07:44:11,11
2024-01-11 07:44:16,10
2024-01-11 07:44:21,11
2024-01-11 07:44:32,9
2024-01-11 07:44:37,11
2024-01-11 07:44:58,9
2024-01-11 07:45:09,10
2024-01-11 07:45:14,11
2024-01-11 07:45:20,11
2024-01-11 07:45:25,10
2024-01-11 07:45:46,11
2024-01-11 07:45:51,10
2024-01-11 07:46:12,11
2024-01-11 07:46:28,10
2024-01-11 07:46:34,11
2024-01-11 07:46:44,10
2024-01-11 07:46:49,11
2024-01-11 07:47:05,10
2024-01-11 07:47:16,11
2024-01-11 07:47:21,10
2024-01-11 07:47:37,9
2024-01-11 07:47:42,10
2024-01-11 07:48:14,11
2024-01-11 07:48:19,10
2024-01-11 07:48:25,11
2024-01-11 07:48:30,10
2024-01-11 07:49:07,11
2024-01-11 07:49:12,10
2024-01-11 07:49:17,11
2024-01-11 07:49:33,12
2024-01-11 07:49:39,10
2024-01-11 07:49:54,11
2024-01-11 07:50:05,12
2024-01-11 07:50:10,10
2024-01-11 07:50:21,11
2024-01-11 07:50:31,10
2024-01-11 07:50:53,11
2024-01-11 07:50:58,10
2024-01-11 07:51:03,11
2024-01-11 07:51:19,10
2024-01-11 07:51:25,11
2024-01-11 07:51:40,10
2024-01-11 07:51:45,11
2024-01-11 07:52:22,10
2024-01-11 07:52:39,11
2024-01-11 07:52:44,10
2024-01-11 07:52:59,11
2024-01-11 07:53:15,10
2024-01-11 07:54:03,11
2024-01-11 07:54:08,10
2024-01-11 07:54:13,11
2024-01-11 07:54:24,10
2024-01-11 07:54:29,11
2024-01-11 07:54:35,10
2024-01-11 07:54:45,9
2024-01-11 07:54:50,11
2024-01-11 07:55:01,9
2024-01-11 07:55:07,13
2024-01-11 07:55:12,40
2024-01-11 07:55:17,39
2024-01-11 07:55:59,38
2024-01-11 07:56:04,39
2024-01-11 07:56:15,38
2024-01-11 07:56:26,39
2024-01-11 07:56:52,38
2024-01-11 07:56:57,39
2024-01-11 07:57:35,38
2024-01-11 07:57:40,39
2024-01-11 07:57:45,38
2024-01-11 07:57:50,39
2024-01-11 07:57:55,40
2024-01-11 07:58:06,38
2024-01-11 07:58:27,39
2024-01-11 07:59:09,38
2024-01-11 07:59:20,39
2024-01-11 07:59:46,38
2024-01-11 07:59:57,39
2024-01-11 08:00:03,38
2024-01-11 08:00:08,40
2024-01-11 08:00:18,39
2024-01-11 08:00:50,40
2024-01-11 08:00:55,38
2024-01-11 08:01:00,39
2024-01-11 08:01:11,40
2024-01-11 08:01:17,38
2024-01-11 08:01:22,39
2024-01-11 08:01:32,40
2024-01-11 08:01:38,39
2024-01-11 08:01:48,38
2024-01-11 08:01:53,39
2024-01-11 08:01:59,38
2024-01-11 08:02:09,39
2024-01-11 08:02:46,38
2024-01-11 08:02:52,39
2024-01-11 08:03:02,40
2024-01-11 08:03:07,39
2024-01-11 08:03:39,46
2024-01-11 08:03:45,98
2024-01-11 08:03:50,98
2024-01-11 08:04:06,96
2024-01-11 08:04:16,97
2024-01-11 08:04:32,98
2024-01-11 08:04:37,97
2024-01-11 08:04:53,98
2024-01-11 08:05:04,95
2024-01-11 08:05:09,97
2024-01-11 08:05:14,98
2024-01-11 08:05:20,97
2024-01-11 08:05:35,98
2024-01-11 08:05:46,96
2024-01-11 08:05:51,97
2024-01-11 08:05:56,98
2024-01-11 08:06:07,98
2024-01-11 08:06:13,97
2024-01-11 08:06:23,98
2024-01-11 08:06:34,96
2024-01-11 08:06:44,96
2024-01-11 08:06:49,97
2024-01-11 08:07:05,96
2024-01-11 08:07:10,97
2024-01-11 08:07:21,96
2024-01-11 08:07:27,97
2024-01-11 08:07:32,95
2024-01-11 08:07:37,97
2024-01-11 08:07:42,98
2024-01-11 08:07:48,97
2024-01-11 08:07:58,98
2024-01-11 08:08:04,97
2024-01-11 08:08:09,98
2024-01-11 08:08:19,95
2024-01-11 08:08:24,98
2024-01-11 08:08:41,97
2024-01-11 08:08:46,98
2024-01-11 08:08:56,97
2024-01-11 08:09:02,98
2024-01-11 08:09:12,96
2024-01-11 08:09:23,98
2024-01-11 08:09:28,96
2024-01-11 08:09:33,97
2024-01-11 08:09:38,98
2024-01-11 08:09:49,98
2024-01-11 08:09:55,97
2024-01-11 08:10:05,98
2024-01-11 08:10:10,96
2024-01-11 08:10:16,97
2024-01-11 08:10:26,98
2024-01-11 08:10:37,97
2024-01-11 08:10:47,98
2024-01-11 08:10:52,97
2024-01-11 08:11:03,96
2024-01-11 08:11:09,97
2024-01-11 08:11:14,98
2024-01-11 08:11:19,97
2024-01-11 08:11:24,97
2024-01-11 08:11:30,98
2024-01-11 08:11:40,97
2024-01-11 08:11:46,98
2024-01-11 08:11:51,217
2024-01-11 08:11:56,202
2024-01-11 08:12:01,200
2024-01-11 08:12:17,198
2024-01-11 08:12:23,200
2024-01-11 08:12:33,198
2024-01-11 08:12:38,199
2024-01-11 08:12:54,194
2024-01-11 08:13:00,200
2024-01-11 08:13:05,196
2024-01-11 08:13:10,199
2024-01-11 08:13:15,192
2024-01-11 08:13:20,198
2024-01-11 08:13:31,199
2024-01-11 08:13:37,199
2024-01-11 08:13:42,199
2024-01-11 08:13:52,201
2024-01-11 08:13:58,202
2024-01-11 08:14:08,198
2024-01-11 08:14:14,199
2024-01-11 08:14:19,200
2024-01-11 08:14:24,199
2024-01-11 08:14:29,198
2024-01-11 08:14:34,199
2024-01-11 08:14:45,201
2024-01-11 08:14:51,198
2024-01-11 08:14:56,199
2024-01-11 08:15:01,200
2024-01-11 08:15:12,198
2024-01-11 08:15:22,200
2024-01-11 08:15:28,199
2024-01-11 08:15:33,200
2024-01-11 08:15:43,198
2024-01-11 08:15:49,197
2024-01-11 08:15:59,198
2024-01-11 08:16:05,200
2024-01-11 08:16:20,202
2024-01-11 08:16:36,200
2024-01-11 08:16:42,200
2024-01-11 08:16:47,198
2024-01-11 08:16:52,198
2024-01-11 08:16:57,198
2024-01-11 08:17:03,200
2024-01-11 08:17:13,199
2024-01-11 08:17:19,198
2024-01-11 08:17:24,199
2024-01-11 08:17:29,198
2024-01-11 08:17:34,199
2024-01-11 08:17:40,193
2024-01-11 08:17:50,199
2024-01-11 08:17:56,196
2024-01-11 08:18:01,200
2024-01-11 08:18:06,198
2024-01-11 08:18:11,200
2024-01-11 08:18:17,199
2024-01-11 08:18:27,200
2024-01-11 08:18:33,199
2024-01-11 08:18:38,198
2024-01-11 08:18:43,199
2024-01-11 08:18:54,200
2024-01-11 08:19:04,199
2024-01-11 08:19:10,199
2024-01-11 08:19:20,200
2024-01-11 08:19:25,199
